habitate_score,difficulty_score,suitability_score,repo_id,file_changes,additions,deletions,net_change,test_additions,non_test_additions,is_merge,has_dependency_changes,test_coverage_score,is_behavior_preserving_refactor,commit_month,commit_dow,multi_file,cross_directory,many_directories,has_core_files,large_single_file,multiple_high_additions,directory_count,test_file_count,non_test_file_count,single_file_200plus,multi_file_300plus,has_test_changes,status
60,45.0,65.0,7,24,1129,148,981,891,238,0,0,0.79,0,11,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
28,20.0,25.0,7,2,16,13,3,5,11,0,0,0.31,0,11,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
38,20.0,25.0,7,3,57,9,48,22,35,0,0,0.39,0,10,0,0,0,0,1,0,0,2,0,0,0,0,1,too_easy
7,30.0,40.0,7,3,164,37,127,115,49,0,0,0.7,0,8,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
23,30.0,40.0,7,2,210,50,160,109,101,0,0,0.52,0,8,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
91,35.0,60.0,7,15,558,25,533,94,464,0,0,0.17,0,8,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,7,3,76,12,64,75,1,0,0,0.99,0,5,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
67,20.0,40.0,13,7,255,35,220,62,193,0,0,0.24,0,12,1,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
6,20.0,40.0,13,2,172,34,138,129,43,0,0,0.75,0,11,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
28,20.0,25.0,13,3,111,112,-1,16,95,0,0,0.14,0,11,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,3,1,2,2,1,0,0,0.67,0,7,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,20.0,25.0,16,3,9,1,8,2,7,0,0,0.22,0,6,3,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
38,30.0,25.0,16,5,30,8,22,11,19,0,0,0.37,0,6,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
1,20.0,40.0,16,3,260,23,237,235,25,0,0,0.9,0,6,6,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,30.0,40.0,16,3,10,8,2,6,4,0,0,0.6,0,6,5,0,0,0,1,0,0,2,0,0,0,0,1,too_easy
14,20.0,40.0,16,6,2869,16,2853,2753,116,0,0,0.96,0,6,0,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
35,10.0,40.0,16,5,30,22,8,0,30,0,0,0.0,0,12,6,1,0,0,1,0,0,1,0,0,0,0,0,too_easy
0,20.0,40.0,16,4,15,9,6,8,7,0,0,0.53,0,12,6,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
3,30.0,40.0,16,2,4,1,3,2,2,0,0,0.5,0,12,5,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
63,20.0,0.0,16,6,71,35,36,4,67,0,1,0.06,0,10,6,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
38,20.0,25.0,16,3,80,6,74,29,51,0,0,0.36,0,10,6,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
